2026-07-10 06:47:01,192 [WARNING] ACK recibido pero contenido inesperado: '0\r,03260'
2026-07-10 06:47:01,226 [WARNING] ACK recibido pero contenido inesperado: '0'
2026-07-10 06:47:01,266 [WARNING] ACK recibido pero contenido inesperado: '0\rS0,102340102,5,'
2026-07-10 06:47:01,298 [WARNING] ACK recibido pero contenido inesperado: 'S2,'
2026-07-10 06:47:01,337 [WARNING] ACK recibido pero contenido inesperado: '0S12,3,S,12,22,\rS03270'
2026-07-10 06:47:01,373 [WARNING] ACK recibido pero contenido inesperado: '012,4,0'
2026-07-10 06:47:01,408 [WARNING] ACK recibido pero contenido inesperado: '0,,270S,0350\r,03210'
2026-07-10 06:47:01,443 [WARNING] ACK recibido pero contenido inesperado: 'S,150'
2026-07-10 06:47:01,479 [WARNING] ACK recibido pero contenido inesperado: 'S12,2,\rA'
2026-07-10 06:47:01,519 [WARNING] ACK recibido pero contenido inesperado: 'S,0,4\rS2,260S,03,3,\rS2,,0'
2026-07-10 06:47:01,558 [WARNING] ACK recibido pero contenido inesperado: 'S12,4,\rS12,3,\rS2,20'
2026-07-10 06:47:01,588 [WARNING] ACK recibido pero contenido inesperado: 'S,03220'
2026-07-10 06:47:01,630 [WARNING] ACK recibido pero contenido inesperado: 'S,1220S2,5S3,50'
2026-07-10 06:47:01,663 [WARNING] ACK recibido pero contenido inesperado: 'S3280'
2026-07-10 06:47:01,692 [WARNING] ACK recibido pero contenido inesperado: '03,20'
2026-07-10 06:47:01,722 [WARNING] ACK recibido pero contenido inesperado: '0200'
2026-07-10 06:47:01,751 [WARNING] ACK recibido pero contenido inesperado: '010'
2026-07-10 06:47:01,786 [WARNING] ACK recibido pero contenido inesperado: ',50'
2026-07-10 06:47:01,816 [WARNING] ACK recibido pero contenido inesperado: ',0'
2026-07-10 06:47:01,846 [WARNING] ACK recibido pero contenido inesperado: ',252,0'
2026-07-10 06:47:01,874 [WARNING] ACK recibido pero contenido inesperado: 'S0324,0'
2026-07-10 06:47:01,911 [WARNING] ACK recibido pero contenido inesperado: '69'
2026-07-10 06:47:01,942 [WARNING] ACK recibido pero contenido inesperado: '4'
2026-07-10 06:47:01,975 [WARNING] ACK recibido pero contenido inesperado: ''
2026-07-10 06:47:02,002 [WARNING] ACK recibido pero contenido inesperado: '3,0'
2026-07-10 06:47:02,032 [WARNING] ACK recibido pero contenido inesperado: '2,2,'
2026-07-10 06:47:02,072 [WARNING] ACK recibido pero contenido inesperado: '03\rS032,'
2026-07-10 06:47:02,105 [WARNING] ACK recibido pero contenido inesperado: ''
2026-07-10 06:47:02,140 [WARNING] ACK recibido pero contenido inesperado: ',1023,1,\r,\r250'
2026-07-10 06:47:02,172 [WARNING] ACK recibido pero contenido inesperado: 'S10270'
2026-07-10 06:47:02,204 [WARNING] ACK recibido pero contenido inesperado: '2,0'
2026-07-10 06:47:02,243 [WARNING] ACK recibido pero contenido inesperado: ',,,1,0\rS320,23260'
2026-07-10 06:47:02,274 [WARNING] ACK recibido pero contenido inesperado: '03260'
2026-07-10 06:47:02,312 [WARNING] ACK recibido pero contenido inesperado: ',,1023,2,0'
2026-07-10 06:47:02,343 [WARNING] ACK recibido pero contenido inesperado: ',230'
2026-07-10 06:47:02,392 [WARNING] ACK recibido pero contenido inesperado: '23,22,0\r,3280S023,0S133,0\rS,28,0'
2026-07-10 06:47:02,420 [WARNING] ACK recibido pero contenido inesperado: '2,340'
2026-07-10 06:47:02,449 [WARNING] ACK recibido pero contenido inesperado: '2321'
2026-07-10 06:47:02,481 [WARNING] ACK recibido pero contenido inesperado: '23,2'
2026-07-10 06:47:02,509 [WARNING] ACK recibido pero contenido inesperado: '0210'
2026-07-10 06:47:02,543 [WARNING] ACK recibido pero contenido inesperado: '24235,0'
2026-07-10 06:47:02,574 [WARNING] ACK recibido pero contenido inesperado: '2S032702\rA'
2026-07-10 06:47:02,606 [WARNING] ACK recibido pero contenido inesperado: '24\rS032'
2026-07-10 06:47:02,646 [WARNING] ACK recibido pero contenido inesperado: ',032S1,290'
2026-07-10 06:47:02,677 [WARNING] ACK recibido pero contenido inesperado: ',3,0'
2026-07-10 06:47:02,710 [WARNING] ACK recibido pero contenido inesperado: ',0'
2026-07-10 06:47:02,739 [WARNING] ACK recibido pero contenido inesperado: ',0'
2026-07-10 06:47:02,769 [WARNING] ACK recibido pero contenido inesperado: ','
2026-07-10 06:47:02,800 [WARNING] ACK recibido pero contenido inesperado: ',0'
2026-07-10 06:47:02,830 [WARNING] ACK recibido pero contenido inesperado: ''
2026-07-10 06:47:02,858 [WARNING] ACK recibido pero contenido inesperado: ''
2026-07-10 06:47:02,890 [WARNING] ACK recibido pero contenido inesperado: ''
2026-07-10 06:47:02,920 [WARNING] ACK recibido pero contenido inesperado: ''
2026-07-10 06:47:02,951 [WARNING] ACK recibido pero contenido inesperado: '103230'
2026-07-10 06:47:02,980 [WARNING] ACK recibido pero contenido inesperado: '103,59,0'
2026-07-10 06:47:03,011 [WARNING] ACK recibido pero contenido inesperado: ',12323,0'
2026-07-10 06:47:03,044 [WARNING] ACK recibido pero contenido inesperado: '3,6,\rS12,00'
2026-07-10 06:47:03,075 [WARNING] ACK recibido pero contenido inesperado: '1023,0'
2026-07-10 06:47:03,096 [WARNING] ACK recibido pero contenido inesperado: '032390'
2026-07-10 06:47:03,133 [WARNING] ACK recibido pero contenido inesperado: '3,4,\rS125,0'
2026-07-10 06:47:03,160 [WARNING] ACK recibido pero contenido inesperado: ',03,0'
2026-07-10 06:47:03,192 [WARNING] ACK recibido pero contenido inesperado: ''
2026-07-10 06:47:03,227 [WARNING] ACK recibido pero contenido inesperado: '3,21,\rS,03,03,\rS123560'
2026-07-10 06:47:03,264 [WARNING] ACK recibido pero contenido inesperado: '3\r,02,279,0'
2026-07-10 06:47:03,294 [WARNING] ACK recibido pero contenido inesperado: '371,0'
2026-07-10 06:47:03,324 [WARNING] ACK recibido pero contenido inesperado: '9'
2026-07-10 06:47:03,354 [WARNING] ACK recibido pero contenido inesperado: '22,0'
2026-07-10 06:47:03,386 [WARNING] ACK recibido pero contenido inesperado: '00\rS12,28,0'
2026-07-10 06:47:03,432 [WARNING] ACK recibido pero contenido inesperado: '9,12,28,\rS12,87'
2026-07-10 06:47:03,462 [WARNING] ACK recibido pero contenido inesperado: '2'
2026-07-10 06:47:03,494 [WARNING] ACK recibido pero contenido inesperado: '0S12,09'
2026-07-10 06:47:03,530 [WARNING] ACK recibido pero contenido inesperado: '0S1030'
2026-07-10 06:47:03,567 [WARNING] ACK recibido pero contenido inesperado: '0'
2026-07-10 06:47:03,589 [WARNING] ACK recibido pero contenido inesperado: ',0339,0'
2026-07-10 06:47:03,622 [WARNING] ACK recibido pero contenido inesperado: '0'
2026-07-10 06:47:03,653 [WARNING] ACK recibido pero contenido inesperado: '3,10'
2026-07-10 06:47:03,682 [WARNING] ACK recibido pero contenido inesperado: 'S1033,0'
2026-07-10 06:47:03,716 [WARNING] ACK recibido pero contenido inesperado: 'S12,326,0'
2026-07-10 06:47:03,750 [WARNING] ACK recibido pero contenido inesperado: 'S103340'
2026-07-10 06:47:03,792 [WARNING] ACK recibido pero contenido inesperado: 'S8,0\rS12,1,0\r,0334,0'
2026-07-10 06:47:03,823 [WARNING] ACK recibido pero contenido inesperado: 'S,023330'
2026-07-10 06:47:03,858 [WARNING] ACK recibido pero contenido inesperado: 'S103360'
2026-07-10 06:47:03,886 [WARNING] ACK recibido pero contenido inesperado: '027,\rA'
2026-07-10 06:47:03,921 [WARNING] ACK recibido pero contenido inesperado: '0290'
2026-07-10 06:47:03,950 [WARNING] ACK recibido pero contenido inesperado: ',2630'
2026-07-10 06:47:03,983 [WARNING] ACK recibido pero contenido inesperado: ',,\rS12,28,'
