rms_biceps,mav_biceps,wl_biceps,ZCR_biceps,rms_triceps,mav_triceps,wl_triceps,ZCR_triceps,rms_antebrazo,mav_antebrazo,wl_antebrazo,ZCR_antebrazo,angulo_codo,angulo_muneca,pct_mvc_rms_biceps,pct_mvc_rms_biceps_crudo,pct_mvc_mav_biceps,pct_mvc_mav_biceps_crudo,pct_mvc_wl_biceps,pct_mvc_wl_biceps_crudo,pct_mvc_ZCR_biceps,pct_mvc_ZCR_biceps_crudo,pct_mvc_rms_triceps,pct_mvc_rms_triceps_crudo,pct_mvc_mav_triceps,pct_mvc_mav_triceps_crudo,pct_mvc_wl_triceps,pct_mvc_wl_triceps_crudo,pct_mvc_ZCR_triceps,pct_mvc_ZCR_triceps_crudo,pct_mvc_rms_antebrazo,pct_mvc_rms_antebrazo_crudo,pct_mvc_mav_antebrazo,pct_mvc_mav_antebrazo_crudo,pct_mvc_wl_antebrazo,pct_mvc_wl_antebrazo_crudo,pct_mvc_ZCR_antebrazo,pct_mvc_ZCR_antebrazo_crudo,saturado_algun_canal
2.04451,1.558503,136.685357,33.0,65.426958,56.636866,7464.888694,50.0,0.796105,0.673823,58.041883,27.0,90.0,0.0,0.0,-1.4281192425106557,0.0,-2.2131643453065477,0.0,-2.954303911367684,20.227920227920233,20.227920227920233,0.0,-8.587405296047189,0.0,-6.897113140132507,0.0,-9.28441071990154,47.92312461252325,47.92312461252325,0.0,-2.075054646583259,0.0,-3.115642732727149,0.0,-5.800907877233171,0.0,-13.718411552346566,False
1.938824,1.464349,125.91068,33.0,64.532583,55.249776,7414.345146,51.0,0.81883,0.685982,62.100782,29.0,90.0,0.0,0.0,-1.54124963278544,0.0,-2.3814634360411278,0.0,-3.3211925161827347,20.227920227920233,20.227920227920233,0.0,-9.05328695457872,0.0,-7.769948409832389,0.0,-9.606704641871078,65.2820830750155,65.2820830750155,0.0,-2.013678559732118,0.0,-3.0569513909133663,0.0,-5.367118388384146,0.0,-5.2948255114320055,False
1.91278,1.430542,126.759488,33.0,63.633201,54.006245,7254.404794,50.0,0.833714,0.700679,66.792196,31.0,90.0,0.0,0.0,-1.5691281397240742,0.0,-2.441893023317972,0.0,-3.2922897488073555,20.227920227920233,20.227920227920233,0.0,-9.521776769045145,0.0,-8.55244825898793,0.0,-10.626573752113744,47.92312461252325,47.92312461252325,0.0,-1.9734795860602863,0.0,-2.986009154657328,0.0,-4.865729691341139,3.128760529482555,3.128760529482555,False
1.760342,1.316255,124.787952,34.0,62.230074,53.03059,6971.099612,49.0,0.83147,0.701688,68.987995,33.0,90.0,0.0,0.0,-1.7323036826787475,0.0,-2.6461795983204457,0.0,-3.359422535468398,24.920395508630808,24.920395508630808,0.0,-10.252668323360027,0.0,-9.166385418839878,0.0,-12.43308599421183,30.564166150031003,30.564166150031003,0.0,-1.9795402214351578,0.0,-2.981138724203335,0.0,-4.631056563030925,11.552346570397114,11.552346570397114,False
1.718382,1.264843,127.171987,37.0,61.705039,52.157415,6994.908669,49.0,0.820561,0.692337,66.811374,32.0,90.0,0.0,0.0,-1.777219292844048,0.0,-2.7380779016622716,0.0,-3.2782437423611666,38.99782135076253,38.99782135076253,0.0,-10.526160065176496,0.0,-9.715836382094022,0.0,-12.281266134653766,30.564166150031003,30.564166150031003,0.0,-2.0090034439416087,0.0,-3.0262758849320694,0.0,-4.863680067830639,7.340553549939835,7.340553549939835,False
1.584344,1.174123,124.688259,40.0,62.608327,52.905476,7056.899214,49.0,0.781656,0.659581,67.73377,32.0,90.0,0.0,0.0,-1.9206987627043093,0.0,-2.9002387605895725,0.0,-3.36281718253576,53.07524719289426,53.07524719289426,0.0,-10.055635607793818,0.0,-9.245114204955579,0.0,-11.885979759564334,30.564166150031003,30.564166150031003,0.0,-2.1140787644671812,0.0,-3.184388689640702,0.0,-4.765100209263972,7.340553549939835,7.340553549939835,False
1.545163,1.127885,121.01208,38.0,62.8173,52.975357,7132.847361,49.0,0.761985,0.643945,69.067141,33.0,90.0,0.0,0.0,-1.9626396235691006,0.0,-2.9828886040097724,0.0,-3.48799478037562,43.6902966314731,43.6902966314731,0.0,-9.94678116997041,0.0,-9.201141137972254,0.0,-11.401691910144887,30.564166150031003,30.564166150031003,0.0,-2.167206553441826,0.0,-3.2598634672211206,0.0,-4.622597938442226,11.552346570397114,11.552346570397114,False
1.487254,1.088973,113.228787,34.0,62.280686,52.05638,7057.350956,48.0,0.722184,0.604727,65.247346,34.0,90.0,0.0,0.0,-2.024627661439987,0.0,-3.0524433145761214,0.0,-3.753023746871484,24.920395508630808,24.920395508630808,0.0,-10.226304435168162,0.0,-9.77941330318359,0.0,-11.88309919999423,13.205207687538753,13.205207687538753,0.0,-2.2747018068087015,0.0,-3.4491682655806017,0.0,-5.030833501967721,15.764139590854395,15.764139590854395,False
1.375187,1.023561,113.310713,37.0,62.894707,53.152164,7082.838337,50.0,0.720086,0.598185,66.02764,38.0,90.0,0.0,0.0,-2.144588521411263,0.0,-3.169366441826481,0.0,-3.750234084050215,38.99782135076253,38.99782135076253,0.0,-9.906459714717359,0.0,-9.089884200405244,0.0,-11.720577408227223,47.92312461252325,47.92312461252325,0.0,-2.280368122769701,0.0,-3.480746418236722,0.0,-4.947440607635547,32.61131167268352,32.61131167268352,False
1.342951,1.000807,110.616181,36.0,62.873009,52.761157,6885.54053,49.0,0.732575,0.613553,65.822472,37.0,90.0,0.0,0.0,-2.179095185121669,0.0,-3.2100389306275368,0.0,-3.8419856127604963,34.305346070051954,34.305346070051954,0.0,-9.91776224467047,0.0,-9.335927860369301,0.0,-12.978658538859722,30.564166150031003,30.564166150031003,0.0,-2.2466376079761297,0.0,-3.4065652733239644,0.0,-4.969367667621069,28.399518652226234,28.399518652226234,False
1.301657,1.002783,107.7528,35.0,64.678661,53.985303,7146.351071,49.0,0.748437,0.620781,67.22612,37.0,90.0,0.0,0.0,-2.2232978830760524,0.0,-3.2065068554815896,0.0,-3.9394866199966225,29.612870789341383,29.612870789341383,0.0,-8.977194643283156,0.0,-8.565626146665048,0.0,-11.315584704987087,30.564166150031003,30.564166150031003,0.0,-2.2037972343949286,0.0,-3.371675807197637,0.0,-4.819354634913443,28.399518652226234,28.399518652226234,False
1.366683,1.050321,107.882757,32.0,66.572325,55.449336,7307.98801,49.0,0.742624,0.6147,64.957352,36.0,90.0,0.0,0.0,-2.153691532584898,0.0,-3.12153327841274,0.0,-3.935061453245364,15.535444947209657,15.535444947209657,0.0,-7.990781421735754,0.0,-7.644374001235028,0.0,-10.284897207436257,30.564166150031003,30.564166150031003,0.0,-2.219497088866466,0.0,-3.401028718585877,0.0,-5.061826229066691,24.187725631768956,24.187725631768956,False
1.59615,1.21576,119.534464,32.0,67.237229,56.179155,7439.975714,48.0,0.776377,0.636738,63.507797,34.0,90.0,0.0,0.0,-1.9080611627612316,0.0,-2.82581314679817,0.0,-3.538309093527875,15.535444947209657,15.535444947209657,0.0,-7.644431648671607,0.0,-7.185130719474583,0.0,-9.443269809733316,13.205207687538753,13.205207687538753,0.0,-2.128336382178388,0.0,-3.294651566608564,0.0,-5.216745511982711,15.764139590854395,15.764139590854395,False
